Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,country_rank,video_views_for_the_last_30_days,highest_monthly_earnings,subscribers_for_last_30_days,Gross tertiary education enrollment (%),Population,Unemployment rate,subscribers_for_last_30_days_missing,country_rank_missing,channel_age,views_per_subscriber,views_per_upload,earnings_spread,urban_ratio,subscriber_growth_rate
POPS Kids,16.600521861931007,23.001926291352547,Music,POPS Kids,8.279950715722526,Vietnam,Film,2.0,19.363547196207165,13.815511557963774,12.206077645517674,28.5,18.38466081561763,2.01,0,0,9,6.4030623413228875,14.722229561219654,16.260445632772793,0.36627999807509903,0.012270092591814347
Thairath Online,16.600521861931007,23.401807671567173,News & Politics,Thairath Online,12.40860524294026,Thailand,News,10.0,19.23052593173819,13.70903942580019,11.51293546492023,49.3,18.05864262960575,0.75,0,0,13,6.802397596996565,10.993223327274388,16.130587403128175,0.506919999605892,0.006153865574378259
LEGO,16.600521861931007,23.744779841980545,Entertainment,LEGO,10.370047760004104,Singapore,Entertainment,1.0,18.579469232499488,13.057933650348467,12.206077645517674,84.8,15.556602852540376,4.11,0,0,18,7.145047114031186,13.37476499407829,15.473434016747937,1.0,0.012270092591814347
XO TEAM,16.600521861931007,23.41686424032807,People & Blogs,XO TEAM Family,5.247024072160486,United States,People,1776.0,10.543022963647424,5.030437921392435,6.90875477931522,88.2,19.609254155938732,14.7,0,0,3,6.817437561461708,18.175117237984207,7.430707082545968,0.8245899991756934,6.172648994274951e-05
AdMe,16.600521861931007,22.22482471023655,Entertainment,Aday Cï¿½ï¿½ï¿½ï¿½ï,2.3978952727983707,Spain,Music,4228.0,1.6094379124341003,0.019802627296179712,12.206077645517674,88.9,17.667290486278546,13.96,1,0,17,5.627905490828675,19.92223961924755,0.16551443847757338,0.8056500082280477,0.012270092591814347
ExtraPolinesios,16.600521861931007,22.294612918709543,People & Blogs,Extra polinesios,1.0986122886681096,Unknown,People,-1.0,6.236369590203704,1.0986122886681096,0.6931471805599453,68.0,19.609254155938732,9.02,0,1,8,5.697451261588155,21.601465738357362,3.1354942159291497,0.8245899991756934,6.17283931565311e-08
Dyland PROS,16.59432989206649,21.14042110344388,Entertainment,Dyland PROS,7.939515260662406,Indonesia,Games,21.0,16.079250971095657,10.55843949396453,12.206077645517674,36.3,19.41468748375534,4.69,1,0,8,4.5566439861074555,13.201264133093146,12.978033317047784,0.5607236404348646,0.012345835822299337
Live,16.59432989206649,0.0,Entertainment,Live,0.0,Unknown,Entertainment,-1.0,17.975720900750336,0.0,12.206077645517674,68.0,19.609254155938732,9.02,1,1,8,0.0,0.0,0.0,0.8245899991756934,0.012345835822299337
Vlad and Niki ARA,16.59432989206649,22.724650698306654,Entertainment,Vlad and Niki ARA,6.236369590203704,United States,Entertainment,141.0,17.281590182934767,11.759793355371237,11.51293546492023,88.2,19.609254155938732,14.7,0,0,4,6.132494387089487,16.49024004137861,14.154836575818353,0.8245899991756934,0.006191970247921078
Canal IN,16.59432989206649,21.711856260505908,People & Blogs,Canal IN,6.584791392385716,Brazil,Entertainment,32.0,16.44032413961595,10.918736348043124,12.206077645517674,51.3,19.17473212136165,12.08,1,0,6,5.123499379849115,15.128447307003903,13.33924898859279,0.8620725611041735,0.012345835822299337
TWICE,16.59432989206649,22.34375780397578,Music,TWICE,7.024649030453636,Unknown,Music,-1.0,18.407798128251013,12.88639037955819,11.51293546492023,68.0,19.609254155938732,9.02,0,1,7,5.752607515669859,15.319999071170443,15.297978589609412,0.8245899991756934,0.006191970247921078
