Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,country_rank,video_views_for_the_last_30_days,highest_monthly_earnings,subscribers_for_last_30_days,Gross tertiary education enrollment (%),Population,Unemployment rate,subscribers_for_last_30_days_missing,country_rank_missing,channel_age,views_per_subscriber,views_per_upload,earnings_spread,urban_ratio,subscriber_growth_rate
AlArabiya ï¿½ï¿½ï¿½ï¿½ï¿,0.015920279437724005,0.8695453809196318,People & Blogs,AlArabiya ï¿½ï¿½ï¿½ï¿½ï¿,0.9543088580126081,United Arab Emirates,News,8.0,0.7988459131212019,0.7718989293444497,0.7117436549793702,36.8,0.4913514420929608,2.35,0,0,0.3076923076923077,0.8215761700119425,0.4431779021844544,0.8018559119841845,0.839723239933911,0.026261871445155873
Rauw Alejandro,0.015920279437724005,0.885799437766562,Music,Rauw Alejandro,0.40662197167748076,Unknown,Music,5.0,0.8417798325760125,0.8291786237032177,0.7117436549793702,68.0,0.8515167182046919,9.02,0,0,0.15384615384615385,0.8763267161116067,0.7471711668637038,0.8512506822020388,0.7871914495325427,0.026261871445155873
EnriqueIglesiasVEVO,0.015920279437724005,0.8970676503026779,Music,EnriqueIglesiasVEVO,0.3905592916650403,United States,Music,171.0,0.7962441786197664,0.7684246788416879,0.7117436549793702,88.2,0.8515167182046919,14.7,0,0,0.25000000000000006,0.9142989856069961,0.7678227802100765,0.7975285847786633,0.7871914495325427,0.026261871445155873
ýýýýýýýý ýýýý ýýýýýýýýýýýýýý,0.015920279437724005,0.8581691943614761,Shows,ýýýýýýýý ýýýý ýýýýýýýýýýýýýý,0.5656110226663893,Ukraine,Entertainment,6.0,0.7933511805180522,0.7645691490421229,0.7573396995666664,82.7,0.6464637607066992,8.88,0,0,0.15384615384615385,0.7832793199839427,0.6339678609360241,0.7945170546605846,0.6296444637336627,0.05232257635822787
The Shiny Peanut,0.015920279437724005,0.8324234332275239,Education,The Shiny Peanut,0.6148634905013735,Indonesia,Entertainment,32.0,0.590689574628274,0.49507077223334,0.7573396995666664,36.3,0.831576842304121,4.69,1,0,0.1153846153846154,0.6967207467926937,0.5803360931770359,0.5590969081659551,0.46706707203478764,0.05232257635822787
Talking Angela,0.013319000290555216,0.8417197716263576,Entertainment,Talking Angela,0.4324166131404422,United Kingdom,Film,31.0,0.7507479102529577,0.7077056325544044,0.7573396995666664,60.0,0.6884115861487217,3.85,1,0,0.15384615384615385,0.7289531402051179,0.6858853885675027,0.7434058980867948,0.8016649953515966,0.052728194505231044
Melon City Show - ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,0.013319000290555216,0.8600290329064156,Comedy,Melon City Show - ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,0.5908991760979233,Iraq,Comedy,2.0,0.7614359819344633,0.721962167515929,0.7573396995666664,16.2,0.6340190192914126,12.82,1,0,0.1153846153846154,0.7905402217935728,0.6227611029150676,0.7577632870526486,0.6442635813472954,0.052728194505231044
Duo Tiempo De Sol,0.013319000290555216,0.8649128159188685,Music,Duo Tiempo De Sol,0.45821125460340356,Spain,Education,17.0,0.7807765912729656,0.7477993470575799,0.7117436549793702,88.9,0.6524974609911891,13.96,0,0,0.17307692307692307,0.8069801668481261,0.6974787054458137,0.7803093415061284,0.7642133296961922,0.026466246635236713
Troom Troom India,0.013319000290555216,0.8657180280038516,Howto & Style,Troom Troom India,0.6164743525219005,Unknown,Howto,-1.0,0.7287682038295152,0.6784128288696131,0.7573396995666664,68.0,0.8515167182046919,9.02,1,1,0.13461538461538464,0.809691098135545,0.615553972056969,0.7196514511740776,0.7871914495325427,0.052728194505231044
MrSuicideSheep,0.013319000290555216,0.8666442408315843,Entertainment,MrSuicideSheep,0.646481168326942,Canada,Entertainment,13.0,0.7309554676423241,0.6813369966116033,0.7573396995666664,68.9,0.6277908648360833,5.56,1,0,0.23076923076923078,0.8128095386292787,0.6008742765380822,0.7221842181409057,0.7912996805529158,0.052728194505231044
Adam W,0.013319000290555216,0.8784924470812028,Comedy,Adam W,0.5172071754570954,United States,Comedy,171.0,0.8467000179896277,0.8357424222824549,0.7573396995666664,88.2,0.8515167182046919,14.7,0,0,0.13461538461538464,0.8527120777016739,0.6812959170859497,0.8568317104747497,0.7871914495325427,0.052728194505231044
Right to Shiksha,0.013319000290555216,0.8713156656035468,Education,Right to Shiksha,0.6042500453441795,India,Education,120.0,0.8435626505039842,0.8315601375860924,0.7840117585933823,28.1,0.9976791355194754,5.36,0,0,0.038461538461538464,0.8285396737815609,0.6280061260428543,0.8533539887093151,0.2050100546163604,0.07878889941830304
Beyoncï¿½ï¿½,0.013319000290555216,0.8938110842875815,Music,Beyoncï¿½ï¿½,0.40662197167748076,United States,Music,172.0,0.8038750151723938,0.7786104578305365,0.7573396995666664,88.2,0.8515167182046919,14.7,1,0,0.25000000000000006,0.9043265537523804,0.7558482178945227,0.8069928408363222,0.7871914495325427,0.052728194505231044
FACT FIRE KING,0.010697318747237006,0.7980493203802068,Entertainment,FACT FIRE KING,0.5281539275835581,India,Games,120.0,0.7784382255895149,0.7446765928291625,0.8176146293679291,28.1,0.9976791355194754,5.36,0,0,0.038461538461538464,0.5836102021108608,0.5884445518930774,0.778270655220694,0.2050100546163604,0.13132532633283903
Ian Lucas,0.010697318747237006,0.8066281401473112,Entertainment,Ian Lucas,0.3116565803569473,Unknown,Entertainment,-1.0,0.1459546970040104,0.0,0.09894071081786382,68.0,0.8515167182046919,9.02,0,1,0.1153846153846154,0.6122664850098539,0.711614276854495,0.0,0.7871914495325427,2.0658770691757794e-06
Franco Escamilla,0.010697318747237006,0.8478758164486085,Comedy,Franco Escamilla,0.619664918966742,Mexico,Comedy,32.0,0.7972618876272916,0.7697754261372685,0.7117436549793702,40.2,0.7534040881753246,3.42,0,0,0.2884615384615385,0.7506595043534168,0.5945622619390448,0.7990008996399683,0.7748388684508181,0.026673827759573547
Adexe & Nau,0.010697318747237006,0.8505810401591608,Music,Adexe & Nau,0.5063900048062795,Spain,Music,18.0,0.7042139150253455,0.6455864138521683,0.7573396995666664,88.9,0.6524974609911891,13.96,1,0,0.17307692307692307,0.7597584304257834,0.6567267745818903,0.6911040455543991,0.7642133296961922,0.05314015081964872
Diana and Roma IND,0.010697318747237006,0.8580508930919132,Entertainment,Diana and Roma IND,0.49796454729126827,United States,Entertainment,173.0,0.7740636163411444,0.7388265883207471,0.7117436549793702,88.2,0.8515167182046919,14.7,0,0,0.057692307692307696,0.784891906445138,0.6692268186511451,0.7713756855458225,0.7871914495325427,0.026673827759573547
Jass Records,0.010697318747237006,0.8606470361505691,Music,JassRecords,0.05494238558786014,Unknown,Music,-1.0,0.0,0.0,0.7573396995666664,68.0,0.8515167182046919,9.02,1,1,0.19230769230769235,0.7936297659824223,0.9321277880162371,0.0025887146234688106,0.7871914495325427,0.05314015081964872
Future,0.010697318747237006,0.8801642864007012,Music,Future AMV's,0.3794810463170882,United States,Film,1944.0,0.5645481513089217,0.45965714132989305,0.4088729976953693,88.2,0.8515167182046919,14.7,0,0,0.038461538461538464,0.859354292495608,0.7553488235690896,0.5288042950119882,0.7871914495325427,0.00026770085568386404
YoungBoy Never Broke Again,0.010697318747237006,0.8909833314006834,Entertainment,YoungBoy Never Broke Again,0.39338041174474586,United States,Music,173.0,0.8331070109366976,0.8176090056764558,0.7117436549793702,88.2,0.8515167182046919,14.7,0,0,0.13461538461538464,0.8958077244279936,0.7597486391645785,0.8412601530169698,0.7871914495325427,0.026673827759573547
Blossom,0.010697318747237006,0.8518464611079755,Howto & Style,Blossom,0.5311341698655394,United States,Howto,173.0,0.7713049169470714,0.7351581927698857,0.7117436549793702,88.2,0.8515167182046919,14.7,0,0,0.09615384615384616,0.7640152488723905,0.6451507630792526,0.7689571894172507,0.7871914495325427,0.026673827759573547
#Refï¿½ï¿½ï¿½ï¿½,0.010697318747237006,0.8305173510432103,Entertainment,#Refugio Mental,0.534381628421677,Unknown,Entertainment,-1.0,0.687182109671618,0.6229811675425743,0.7573396995666664,68.0,0.8515167182046919,9.02,1,1,0.17307692307692307,0.6923268600038189,0.6203514614590026,0.6712936720807685,0.7871914495325427,0.05314015081964872
Piuzinho,0.010697318747237006,0.7953858414236669,Gaming,Piuzinho,0.4933902913074541,Brazil,Games,53.0,0.6574592450896204,0.5833567304209136,0.7573396995666664,51.3,0.8069853740217376,12.08,1,0,0.13461538461538464,0.574726728022858,0.6037516316658741,0.6367125604498476,0.8326655367243903,0.05314015081964872
